Player,Player ID,Age,Speciality,Exp,TSI,Salary,Form,Condition,Character,Aggressiveness,Honesty,Leadership,GK,DEF,PM,WG,PASS,SCO,SP,Last_Skills_Update
"Kazimierz Juskowiak,481464696,20.09,P,nędzny,2610,1440,6,8,przyjemny,opanowany,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Zygmunt Szuster,481438667,22.045,,fatalny,610,1480,4,4,sympatyczny,spokojny,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Radoslaw Markiewka,481472168,22.035,,nędzny,300,1080,6,7,przyjemny,spokojny,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Milaszewski,481459019,19.072,,kiepski,9130,2120,7,7,sympatyczny,z charakterem,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Dominik Siewruk,481461102,19.088,,nędzny,40,1080,5,1,przyjemny,porywczy,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Mariusz Bajorek,481460313,20.091,,nędzny,1460,1320,6,8,przyjemny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Boleslaw Wasyliszyn,481459404,20.097,H,nędzny,290,1160,4,5,przyjemny,z charakterem,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Piotr Rebacz,481415099,20.089,,nędzny,1910,2040,7,6,sympatyczny,zrównoważony,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Adam Klorek,481440098,18.089,,kiepski,21230,9640,6,7,kontrowersyjny,porywczy,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Maciej Bezubik,481462093,20.048,,nędzny,150,1160,2,3,sympatyczny,z charakterem,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Slawosz Palluth,481428309,20.018,U,nędzny,1040,1360,7,6,kontrowersyjny,z charakterem,uczciwy,nędzny,1,5,5,7,4,3,8,08.08.2024"
"Albin Smietanka,481480068,20.017,T,nędzny,2100,2040,7,7,sympatyczny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Pawel Holod,481481869,21.071,Q,nędzny,90,1080,1,8,sympatyczny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Pawel Racki,481467512,20.096,,nędzny,490,1240,3,7,sympatyczny,spokojny,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Brunon Pachucki,481461110,19.06,U,nędzny,190,1080,4,4,sympatyczny,opanowany,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Wincenty Polec,481480913,18.092,,kiepski,2940,1800,6,6,kontrowersyjny,z charakterem,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Stanislaw Kabut,481416746,20.038,,nędzny,1500,1240,7,5,kontrowersyjny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Teodozy Jurusik,481471195,19.006,Q,nędzny,360,1080,6,4,kontrowersyjny,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Jonatan Warchal,481461771,19.091,Q,nędzny,1780,1520,6,6,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Fryderyk Urbanek,481454449,19.026,Q,nędzny,2490,1800,6,7,przyjemny,z charakterem,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Friedrich Wilhelm Doberan,481471043,20.049,H,nędzny,3290,1880,8,8,sympatyczny,zrównoważony,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Siemowit Maniszewski,481464376,20.085,,nędzny,1430,1560,4,7,kontrowersyjny,z charakterem,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Jaroslaw Golabek,481426615,19.038,,nędzny,7790,9800,5,7,sympatyczny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Woroniecki,481463020,20.032,Q,nędzny,370,1080,5,4,przyjemny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Aureliusz Iwulski,481472010,20.045,,nędzny,2200,1320,8,8,kontrowersyjny,z charakterem,podły,słaby,-,-,-,-,-,-,-,08.08.2024"
"Konrad Kuzniarz,481481010,20.009,,nędzny,430,1160,6,6,kontrowersyjny,z charakterem,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Wzorek,481444342,18.091,Q,nędzny,5630,1520,7,7,kontrowersyjny,porywczy,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Karol Trybala,481466476,19.034,,nędzny,1410,3400,3,4,przyjemny,opanowany,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Michal Niechaj,481426845,20.093,,nędzny,790,1800,5,6,kontrowersyjny,opanowany,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Krystian Trzcina,481460759,20.092,,nędzny,610,1160,4,6,kontrowersyjny,spokojny,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Marian Musiatowicz,481470503,19.091,U,nędzny,740,1280,7,6,sympatyczny,z charakterem,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Roman Nosek,481432154,20.048,,nędzny,4060,2440,4,5,sympatyczny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wladyslaw Jezowski,481460204,20.042,,nędzny,1000,3160,3,7,przyjemny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Leslaw Turzynski,481430378,20.086,H,nędzny,560,1280,4,4,przyjemny,opanowany,nieuczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Wiktor Szymankiewicz,481474264,21.043,,nędzny,160,1080,3,5,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Henryk Olchowik,481420417,18.091,H,nędzny,3520,7000,3,6,przyjemny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Biechonski,481423586,20.068,,fatalny,470,1560,4,5,kontrowersyjny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Tadeusz Chwalba,481415933,18.094,T,nędzny,8350,3800,7,7,kontrowersyjny,z charakterem,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Dariusz Skopek,481414673,19.004,,nędzny,970,1560,2,4,przyjemny,zrównoważony,podły,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Igor Wieloch,481461922,20.109,U,nędzny,580,1440,6,6,złośliwy,spokojny,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Patryk Cichosz,481462449,19.102,,nędzny,640,1240,7,4,przyjemny,zrównoważony,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Myslibor Mietola,481385726,19.046,,kiepski,14720,8600,7,7,przyjemny,opanowany,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Michal Bukowski,481417850,19.092,Q,nędzny,1070,1360,4,6,przyjemny,porywczy,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Wlodzimierz Dzionek,481458924,19.047,H,nędzny,210,1360,1,6,przyjemny,zrównoważony,szlachetny,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Artur Holeksa,481454490,18.089,,kiepski,1040,1640,2,7,kontrowersyjny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Bruno Bojarski,481479827,20.072,,nędzny,1390,1480,6,6,przyjemny,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Zbyszek Hertman,481474007,21.065,,nędzny,1160,1320,6,7,przyjemny,zrównoważony,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Jakuszewski,481476335,20.017,H,nędzny,630,1600,5,6,przyjemny,porywczy,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Mateusz Narewski,481427029,20.024,T,nędzny,3530,1880,4,6,złośliwy,spokojny,podły,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Henryk Wolszon,481471336,20.041,,fatalny,40,1000,2,5,sympatyczny,z charakterem,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Marek Pietrulewicz,481471272,20.012,U,nędzny,300,1080,2,5,sympatyczny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Radoslaw Kamieniecki,481457788,20.09,Q,nędzny,440,1360,4,6,kontrowersyjny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Tymoteusz Szalak,481441665,18.094,P,nędzny,2580,2320,3,6,złośliwy,opanowany,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Franciszek Komada,481464457,20.089,,nędzny,1260,1160,4,7,kontrowersyjny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Dawid Rytel,481453602,20.074,,fatalny,360,1320,3,4,sympatyczny,porywczy,nieuczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Zbigniew Skowron,481451441,20.094,P,nędzny,6310,3800,5,8,przyjemny,opanowany,prawy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Sebastian Topolski,481461800,20.071,Q,nędzny,1830,1160,7,9,przyjemny,spokojny,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Leoniuk,481471528,20.018,P,nędzny,1890,1520,8,7,przyjemny,zrównoważony,uczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Zdzislaw Klasa,481464553,20.092,T,nędzny,1330,1720,4,7,przyjemny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Ferdynand Molenda,481473559,20.088,,nędzny,1560,3320,6,5,kontrowersyjny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Krystian Szynkowski,481479245,18.09,,fatalny,160,1080,2,3,kontrowersyjny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Jerzy Radwanski,481428230,20.047,,nędzny,10380,5320,7,7,sympatyczny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Zygmunt Samson,481421096,19.016,H,fatalny,20,1000,3,5,kontrowersyjny,spokojny,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Marek Zajfert,481464464,21.025,,nędzny,3170,4760,6,6,kontrowersyjny,zrównoważony,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Emil Dmowski,481466264,19.089,,kiepski,4630,2120,7,6,złośliwy,zrównoważony,uczciwy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Ernest Skrzypski,481385994,18.105,,nędzny,34210,14360,6,6,popularny,zrównoważony,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Tomasz Kedziora,481462147,20.077,H,fatalny,330,1160,4,6,popularny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Sergiusz Pezda,481429689,20.088,,nędzny,700,1480,2,5,przyjemny,zrównoważony,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Slawomir Lempkowski,481472494,19.035,,kiepski,11050,4760,7,7,sympatyczny,spokojny,prawy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Adrian Matczuk,481448294,20.003,P,fatalny,260,1080,6,5,przyjemny,zrównoważony,nieuczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Roman Biedron,481469711,20.088,T,nędzny,1280,1080,6,8,kontrowersyjny,z charakterem,uczciwy,fatalny,-,-,-,-,-,-,-,08.08.2024"
"Przemyslaw Saternus,481443958,20.065,Q,nędzny,1130,1600,5,7,kontrowersyjny,z charakterem,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Antoni Rachel,481444532,20.082,,nędzny,770,1800,4,4,sympatyczny,spokojny,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Czeslaw Pabian,481472953,20.064,,nędzny,1280,1720,2,5,przyjemny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Juliusz Rudowski,481467893,20.069,T,nędzny,3510,5320,4,8,przyjemny,opanowany,prawy,kiepski,-,-,-,-,-,-,-,08.08.2024"
"Bartosz Fajer,481456696,20.001,H,nędzny,6990,10080,5,6,przyjemny,z charakterem,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Stefan Bojek,481463366,19.021,,nędzny,1320,1240,6,7,kontrowersyjny,zrównoważony,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Jakub Galant,481474761,18.092,T,nędzny,3460,1360,7,5,kontrowersyjny,opanowany,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Gabriel Plesniak,481462044,20.079,S,nędzny,1130,1880,4,6,sympatyczny,z charakterem,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Mieczyslaw Malewicz,481479632,20.061,,nędzny,2370,1560,6,6,przyjemny,z charakterem,nieuczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Witold Cecot,481429560,20.006,P,nędzny,2220,1800,5,5,kontrowersyjny,opanowany,prawy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Bogdan Zdziarski,481458141,20.076,,nędzny,1230,1320,3,6,przyjemny,opanowany,uczciwy,zadowalający,-,-,-,-,-,-,-,08.08.2024"
"Gustaw Skoczynski,481415975,20.097,,nędzny,1360,1240,6,7,kontrowersyjny,zrównoważony,uczciwy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Feodosii Chopik,481471830,19.073,,nędzny,570,1400,3,6,sympatyczny,opanowany,uczciwy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Nikodem Szelest,481437707,22.079,,nędzny,650,1160,4,6,sympatyczny,opanowany,nieuczciwy,przeciętny,-,-,-,-,-,-,-,08.08.2024"
"Rafal Waldoch,481427785,18.091,,nędzny,450,1160,5,7,sympatyczny,zrównoważony,prawy,solidny,-,-,-,-,-,-,-,08.08.2024"
"Henryk Chamera,481461684,20.012,T,nędzny,80,1000,4,5,sympatyczny,zrównoważony,prawy,słaby,-,-,-,-,-,-,-,08.08.2024"
"Konrad Muczek,481386911,20.096,,nędzny,390,1080,3,7,złośliwy,z charakterem,prawy,nędzny,-,-,-,-,-,-,-,08.08.2024"
"Krzysztof Janiczek,481472468,19.017,Q,kiepski,540,1280,8,6,przyjemny,zrównoważony,uczciwy,solidny,-,-,-,-,-,-,-,08.08.2024"
