"player,since,id,body,face,eyes,mouth,nose,hair,gentleness,aggressiveness,honesty,leadership"
"Jan Majorczyk,3,478196382,bd2,f3,e13b,m24b,n29,h0,kontrowersyjny,zrównoważony,prawy,kiepski"
"Stanislaw Jakimow,0,478187402,bd6,f7,e16c,m13c,n33,h5,przyjemny,porywczy,uczciwy,słaby"
"Adam Kabat,1,478211928,bd6,f4,e10c,m4cg,n24mc,h13,przyjemny,zrównoważony,uczciwy,przeciętny"
"Tadeusz Kosiarski,1,478218970,bd4,f1,e18b,m5b,n2,h10,kontrowersyjny,zrównoważony,uczciwy,przeciętny"
"Gawel Cieciwa,3,478188169,bd10,f7,e24b,m33b,n33,h12,kontrowersyjny,opanowany,uczciwy,słaby"
"Stefan Surowy,2,478201647,bd10,f4,e25c,m30c,n4,h13,sympatyczny,opanowany,uczciwy,przeciętny"
"Marcin Polaczek,0,478188760,bd10,f1,e17c,m5c,n22ma,h10,popularny,zrównoważony,uczciwy,kiepski"
"Michal Makula,2,478206495,bd7,f8,e30c,m31c,n28,h4,przyjemny,zrównoważony,nieuczciwy,słaby"
"Maksymilian Zaleski,2,478200212,bd6,f1,e23c,f1bem31c,f1ben26,h1,popularny,zrównoważony,uczciwy,przeciętny"
"Ksawery Moroz,2,478209450,bd7,f1,e6b,f1bem38b,f1ben24,h8,kontrowersyjny,zrównoważony,prawy,nędzny"
"Ryszard Lyszkowicz,2,478202491,bd8,f6,e34c,f6bem21c,f6ben29,h13,przyjemny,opanowany,uczciwy,nędzny"
"Pawel Krupa,3,478197187,bd3,f1,e19c,m9c,n8,h6,sympatyczny,porywczy,uczciwy,nędzny"
"Jerzy Bukianiec,2,478198398,bd1,f4,e29c,m10c,n19,h5,popularny,opanowany,nieuczciwy,słaby"
"Stefan Szlendak,2,478209478,bd6,f2,e27b,m18b,n23,h10,kontrowersyjny,z charakterem,uczciwy,przeciętny"
"Szymon Pluskwa,3,478192488,bd8,f2,e21c,m31c,n8ma,h7,sympatyczny,opanowany,uczciwy,przeciętny"
"Maciej Topolski,2,478209327,bd7,f3,e27c,m39c,n20,h15,przyjemny,zrównoważony,prawy,słaby"
"Jakub Ogorzelski,2,478207904,bd6,f4,e23c,m9c,n15,h2,przyjemny,porywczy,uczciwy,kiepski"
"Marek Michna,1,478211784,bd2,f9,e36b,m23b,n33,h8,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Bogdan Mintus,3,478194655,bd2,f5,e25c,m13c,n25,h1,przyjemny,z charakterem,prawy,przeciętny"
"Rudolf Poniewozik,2,478205804,bd10,f9,e31a,m33a,n16me,h15,złośliwy,z charakterem,uczciwy,kiepski"
"Sebastian Jaskowski,2,478199446,bd3,f3,e4c,m32c,n19,h10,przyjemny,z charakterem,nieuczciwy,solidny"
"Marek Kancelarczyk,1,478210506,bd6,f4,e26c,m9c,n9,h15,przyjemny,zrównoważony,uczciwy,przeciętny"
"Roman Rafalski,1,478216801,bd6,f9,e30c,m28c,n4,h2,przyjemny,porywczy,uczciwy,słaby"
"Karol Mierzejek,3,478196126,bd5,f8,e2b,m8b,n21,h12,kontrowersyjny,opanowany,uczciwy,nędzny"
"Feliks Cieplucha,2,478206471,bd2,f2,e15c,m31c,n29,h5,przyjemny,zrównoważony,uczciwy,słaby"
"Tadeusz Powsinski,2,478204189,bd2,f2,e6c,m13c,n26,h2,przyjemny,zrównoważony,uczciwy,przeciętny"
"Franciszek Rebas,3,478197671,bd11,f7,e28c,m34c,n35,h4,przyjemny,zrównoważony,uczciwy,słaby"
"Gabriel Konczak,3,478194826,bd1,f9,e28b,m7b,n9,h12,kontrowersyjny,opanowany,uczciwy,kiepski"
"Tomasz Czarniawski,2,478202201,bd10,f7,e27c,m31c,n36,h4,przyjemny,opanowany,uczciwy,fatalny"
"Bartlomiej Jonek,2,478205829,bd11,f2,e27c,m25c,n20,h0,sympatyczny,porywczy,prawy,kiepski"
"Amadeusz Okroj,0,478220805,bd12,f3,e28b,m4b,n18,h13,kontrowersyjny,zrównoważony,uczciwy,kiepski"
"Antoni Jarnot,2,478199803,bd9,f1,e28b,m4b,n14,h3,kontrowersyjny,z charakterem,nieuczciwy,słaby"
"Antoni Czarzasty,3,478195947,bd10,f3,e3c,m5c,n4,h0,sympatyczny,z charakterem,nieuczciwy,słaby"
"Edward Nowokunski,3,478187385,bd3,f4,e26a,m10a,n26,h5,złośliwy,spokojny,prawy,nędzny"
"Jozef Dettlaff,1,478215283,bd5,f1,e4b,m5b,n15,h3,kontrowersyjny,zrównoważony,nieuczciwy,słaby"
"Kacper Lekolski,0,478222977,bd8,f8,e30c,m29c,n13,h7,przyjemny,zrównoważony,nieuczciwy,solidny"
"Wiktor Surmacz,3,478188536,bd9,f2,e14b,f2bem28b,f2ben20,h14,kontrowersyjny,z charakterem,prawy,kiepski"
"Bonifacy Dziwak,1,478213377,bd3,f6,e9b,m31b,n3,h6,kontrowersyjny,zrównoważony,uczciwy,zadowalający"
"Bogdan Solecki,1,478217968,bd6,f7,e24c,m37c,n37ma,h15,przyjemny,zrównoważony,prawy,przeciętny"
"Maciej Hermanowicz,2,478207294,bd6,f5,e25c,m35c,n38,h13,sympatyczny,spokojny,nieuczciwy,kiepski"
"Marian Bojarski,2,478201710,bd2,f3,e23c,f3bem5c,f3ben4,h1,przyjemny,zrównoważony,prawy,kiepski"
"Franciszek Deres,1,478214335,bd7,f9,e34c,m2c,n28,h7,sympatyczny,opanowany,prawy,kiepski"
"Cyprian Medrala,2,478199958,bd9,f8,e18c,f8bem2c,f8ben33,h15,przyjemny,zrównoważony,uczciwy,przeciętny"
"Damian Pilich,1,478216596,bd9,f9,e34c,m16c,n4,h3,przyjemny,opanowany,prawy,słaby"
"Wojciech Puzdrowski,2,478208702,bd5,f5,e29c,m14c,n20,h12,sympatyczny,opanowany,nieuczciwy,przeciętny"
"Mieczyslaw Chren,2,478207295,bd9,f7,e23c,m30c,n36,h4,przyjemny,opanowany,uczciwy,słaby"
"Jakub Gurgul,1,478215144,bd7,f2,e6b,m28bg,n29,h4,kontrowersyjny,opanowany,uczciwy,słaby"
"Boguslaw Labisz,2,478202857,bd4,f9,e34c,m2c,n20,h10,przyjemny,opanowany,szlachetny,solidny"
"Albin Kaliniak,2,478207024,bd8,f2,e3a,m18a,n8,h0,złośliwy,spokojny,uczciwy,kiepski"
"Wlodzimierz Draganski,3,478197580,bd12,f6,e28a,m26a,n15md,h14,złośliwy,z charakterem,nieuczciwy,przeciętny"
"Dariusz Malej,1,478219160,bd5,f9,e28c,m33c,n33,h5,przyjemny,opanowany,uczciwy,zadowalający"
"Otto Drawc,2,478201923,bd3,f2,e1c,m28c,n29,h13,sympatyczny,zrównoważony,prawy,słaby"
"Marian Aksamitowski,0,478221851,bd4,f6,e21c,m8c,n19,h8,przyjemny,z charakterem,prawy,zadowalający"
"Michal Kryjom,1,478209609,bd12,f3,e25c,m12cg,n18,h14,przyjemny,porywczy,nieuczciwy,nędzny"
"Mariusz Tempski,1,478217969,bd1,f3,e34b,m3b,n15,h2,kontrowersyjny,zrównoważony,prawy,przeciętny"
"Witold Dudala,0,478220208,bd5,f9,e35c,m27c,n26,h1,przyjemny,zrównoważony,nieuczciwy,zadowalający"
"Artur Kosler,3,478188471,bd11,f6,e16c,m31c,n5,h1,przyjemny,porywczy,szlachetny,zadowalający"
"Bartlomiej Kopania,3,478190064,bd11,f3,e13c,m33c,n31,h2,przyjemny,zrównoważony,prawy,słaby"
"Olek Repec,0,478221011,bd5,f5,e27b,m28b,n16,h10,kontrowersyjny,spokojny,prawy,przeciętny"
"Konrad Lagodzki,2,478200627,bd5,f8,e25c,m31c,n25,h12,przyjemny,spokojny,uczciwy,słaby"
"Eustachy Sobiewski,3,478188988,bd7,f9,e31c,m14c,n32,h14,przyjemny,z charakterem,prawy,nędzny"
"Szymon Liszkiewicz,3,478194127,bd12,f7,e27c,m30c,n28,h1,przyjemny,porywczy,uczciwy,słaby"
"Wawrzyniec Maron,3,478193198,bd3,f1,e25c,m16cg,n22,h2,sympatyczny,zrównoważony,uczciwy,fatalny"
"Sebastian Kosowski,2,478208200,bd4,f6,e26c,m30c,n8,h15,sympatyczny,porywczy,prawy,kiepski"
"Jakub Brucki,3,478197054,bd3,f9,e30c,m29c,n31,h4,sympatyczny,zrównoważony,uczciwy,przeciętny"
"Jozef Kosiba,2,478200478,bd9,f1,e17b,m39b,n21,h8,kontrowersyjny,zrównoważony,uczciwy,solidny"
"Jozef Porzuczek,1,478216226,bd2,f8,e10c,m4c,n23,h8,przyjemny,zrównoważony,uczciwy,przeciętny"
"Miroslaw Techmanski,2,478200355,bd2,f1,e11c,m39c,n22,h5,przyjemny,opanowany,podły,nędzny"
"Antoni Galan,2,478205519,bd2,f5,e35c,m3c,n39,h6,przyjemny,z charakterem,uczciwy,słaby"
"Marcin Matuszyk,3,478187543,bd9,f1,e21c,f1bem1c,f1ben23,h13,przyjemny,zrównoważony,nieuczciwy,zadowalający"
"Ludwik Beer,3,478190941,bd5,f8,e26c,m28c,n13,h5,przyjemny,z charakterem,uczciwy,kiepski"
"Jacek Gladczan,0,478221611,bd4,f8,e8c,m30c,n14,h13,popularny,z charakterem,uczciwy,zadowalający"
"Krzysztof Komander,1,478217134,bd1,f7,e14c,m13c,n28,h12,przyjemny,opanowany,prawy,solidny"
"Gerwazy Kulasiewicz,3,478190914,bd2,f5,e3c,m33c,n19,h8,sympatyczny,zrównoważony,uczciwy,słaby"
"Damian Ganczarek,2,478200531,bd1,f3,e4c,m2c,n4,h4,przyjemny,z charakterem,prawy,słaby"
"Robert Oslizlo,2,478200214,bd7,f7,e20b,m40b,n32,h2,kontrowersyjny,z charakterem,uczciwy,przeciętny"
"Krzysztof Cymanowski,2,478208572,bd2,f3,e25c,f3bem32c,f3ben17,h3,sympatyczny,zrównoważony,szlachetny,przeciętny"
"Baltazar Sztuba,3,478189420,bd7,f4,e3c,m39c,n17,h13,sympatyczny,zrównoważony,nieuczciwy,przeciętny"
"Sulibor Depa,0,478219990,bd6,f1,e25c,m6c,n16,h2,sympatyczny,zrównoważony,uczciwy,zadowalający"
"Janusz Slupik,1,478217128,bd4,f2,e23a,m2a,n26,h3,złośliwy,z charakterem,prawy,słaby"
"Tomasz Wyroda,1,478215510,bd4,f7,e12c,m39c,n40,h4,przyjemny,opanowany,uczciwy,zadowalający"
"Czeslaw Giermek,3,478187658,bd5,f4,e24c,m9c,n27,h10,przyjemny,zrównoważony,uczciwy,kiepski"
"Krzysztof Frej,0,478187314,bd2,f4,e28c,m10c,n16,h2,przyjemny,z charakterem,uczciwy,kiepski"
"Karol Resler,3,478195157,bd6,f1,e3c,f1bem24c,f1ben24,h6,przyjemny,zrównoważony,uczciwy,przeciętny"
"Leon Plak,1,478211827,bd5,f4,e26c,m21c,n9,h11,przyjemny,opanowany,podły,nędzny"
"Artur Dudzinski,1,478209756,bd5,f7,e7c,m39c,n36,h14,przyjemny,zrównoważony,uczciwy,przeciętny"
"Karol Bancer,3,478197333,bd2,f9,e36c,f9bem9c,f9ben4,h2,sympatyczny,zrównoważony,podły,nędzny"
"Edmund Radej,3,478196055,bd3,f5,e26c,m9c,n38,h6,przyjemny,z charakterem,nieuczciwy,słaby"
"Piotr Suder,3,478193781,bd4,f6,e30c,m28c,n6,h1,sympatyczny,z charakterem,podły,przeciętny"
"Jakub Gerek,2,478200157,bd3,f9,e32c,m8c,n19,h9,przyjemny,zrównoważony,uczciwy,fatalny"
"Szymon Krajanowski,3,478187447,bd4,f4,e24b,m7b,n10,h6,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Pawel Szwarocki,1,478211505,bd6,f2,e26c,m12c,n10,h14,sympatyczny,zrównoważony,nieuczciwy,przeciętny"
"Wiesiek Wiese,1,478214288,bd9,f7,e14b,m30b,n35,h10,kontrowersyjny,opanowany,nieuczciwy,kiepski"
"Przemyslaw Pazdan,3,478197473,bd8,f4,e31c,m8c,n25mb,h15,przyjemny,z charakterem,nieuczciwy,przeciętny"
"Cezary Brezinski,0,478221534,bd9,f9,e34c,m5c,n26,h6,sympatyczny,opanowany,prawy,kiepski"
"Ulf Staden,3,478188626,bd12,f9,e28c,f9bem30c,f9ben10,h2,sympatyczny,zrównoważony,uczciwy,słaby"
"Janusz Pustul,0,478222207,bd7,f9,e31c,m30c,n4,h13,przyjemny,opanowany,uczciwy,zadowalający"
"Hubert Kolmas,1,478209917,bd10,f2,e1c,m25cg,n33ma,h5,sympatyczny,opanowany,prawy,słaby"
"Izydor Karasiewicz,3,478191831,bd4,f4,e22c,m24c,n26,h2,przyjemny,zrównoważony,uczciwy,zadowalający"
"Slawomir Kazimierczak,2,478200582,bd4,f3,e22c,f3bem27c,f3ben16,h7,przyjemny,zrównoważony,prawy,zadowalający"
"Piotr Grynkiewicz,0,478221797,bd7,f3,e4c,f3bem5c,f3ben21,h4,popularny,opanowany,nieuczciwy,fatalny"
"Protazy Gazarkiewicz,3,478191916,bd8,f4,e23b,m30b,n12,h2,kontrowersyjny,opanowany,szlachetny,nędzny"
"Flawiusz Partyka,2,478209539,bd6,f9,e28a,m27a,n13,h14,złośliwy,opanowany,prawy,zadowalający"
"Jaroslaw Kiser,3,478197337,bd5,f9,e29c,m7c,n17,h10,popularny,z charakterem,nieuczciwy,kiepski"
"Fryderyk Pyzik,1,478212230,bd3,f3,e4b,m14b,n23mc,h1,kontrowersyjny,porywczy,prawy,kiepski"
"Filip Sniecikowski,1,478216095,bd4,f9,e10c,m27cg,n3,h4,sympatyczny,zrównoważony,uczciwy,kiepski"
"Krzysztof Ledzinski,3,478195467,bd12,f6,e3a,m15a,n25,h15,złośliwy,zrównoważony,uczciwy,zadowalający"
"Przemyslaw Sienkowski,3,478193616,bd11,f3,e3c,f3bem14c,f3ben23,h15,przyjemny,zrównoważony,uczciwy,słaby"
"Czeslaw Zatorski,0,478223846,bd5,f4,e25c,m28c,n4,h1,sympatyczny,zrównoważony,nieuczciwy,zadowalający"
"Roman Samulczyk,3,478192650,bd8,f1,e13a,m19a,n21,h2,złośliwy,opanowany,uczciwy,słaby"
"Patryk Szypulski,1,478218374,bd7,f9,e34a,m14a,n34,h10,złośliwy,porywczy,prawy,kiepski"
"Stanislaw Oglaza,0,478221947,bd7,f6,e28c,m15c,n3,h10,przyjemny,z charakterem,prawy,kiepski"
"Waldemar Grab,3,478197763,bd11,f1,e1c,m24c,n18,h14,przyjemny,z charakterem,uczciwy,słaby"
"Lukasz Naroznik,3,478192387,bd5,f4,e27b,m10b,n28,h12,kontrowersyjny,zrównoważony,uczciwy,słaby"
"Artur Sniezek,1,478215012,bd5,f6,e26a,f6bem21a,f6ben4,h5,złośliwy,opanowany,prawy,słaby"
"Pawel Otfinowski,3,478188074,bd7,f3,e4c,m38c,n13,h1,przyjemny,spokojny,prawy,przeciętny"
"Maciej Lidzbarski,2,478206947,bd6,f8,e12c,m13c,n15,h15,przyjemny,zrównoważony,uczciwy,nędzny"
"Marcin Maruszewski,1,478211789,bd7,f4,e12c,m8c,n9,h1,przyjemny,zrównoważony,uczciwy,nędzny"
"Juliusz Jankowski,0,478189798,bd3,f8,e24b,m13b,n26,h8,kontrowersyjny,opanowany,szlachetny,kiepski"
"Walery Niesmaczny,2,478200017,bd5,f5,e27c,m21c,n20,h10,przyjemny,z charakterem,nieuczciwy,kiepski"
"Rafal Grudzinski,2,478205387,bd6,f3,e23c,m8c,n21,h12,przyjemny,z charakterem,prawy,kiepski"
"Dragomir Zybura,1,478217295,bd4,f7,e34c,m14c,n37,h3,przyjemny,spokojny,prawy,przeciętny"
"Mieczyslaw Misterka,1,478213572,bd2,f9,e10c,m30c,n12,h10,przyjemny,z charakterem,uczciwy,kiepski"
"Marcin Koscinski,2,478206381,bd1,f3,e4a,m4ag,n18,h14,złośliwy,zrównoważony,prawy,kiepski"
"Karol Podsiadly,0,478188125,bd2,f1,e10c,m39c,n5,h2,popularny,zrównoważony,uczciwy,kiepski"
"Miroslaw Miotk,2,478207655,bd6,f8,e30c,m32c,n29,h5,przyjemny,z charakterem,prawy,nędzny"
"Daniel Szyma,2,478204427,bd10,f5,e7b,m11b,n13,h12,kontrowersyjny,porywczy,uczciwy,słaby"
"Bonifacy Kowalczyk,3,478195519,bd2,f6,e9c,m21c,n25,h13,przyjemny,zrównoważony,prawy,nędzny"
"Ryszard Kowal,0,478223642,bd12,f8,e14b,m16b,n30,h15,kontrowersyjny,opanowany,uczciwy,słaby"
"Patryk Lachmanski,1,478218418,bd1,f2,e19c,m17c,n22,h4,przyjemny,opanowany,prawy,kiepski"
"Krzysztof Marszalkowski,2,478209067,bd2,f7,e12b,m30b,n38,h1,kontrowersyjny,zrównoważony,prawy,przeciętny"
"Tadeusz Cembala,1,478219828,bd1,f7,e20b,m34b,n36,h10,kontrowersyjny,zrównoważony,uczciwy,nędzny"
"Ireneusz Kublik,3,478190975,bd3,f2,e29c,m37c,n11,h0,przyjemny,opanowany,prawy,słaby"
"Ferdynand Pelchner,3,478190201,bd1,f8,e10c,m2c,n22,h5,sympatyczny,z charakterem,szlachetny,kiepski"
"Maciej Omiotek,3,478192619,bd2,f6,e36c,f6bem26c,f6ben4,h1,przyjemny,porywczy,prawy,kiepski"
"Krzysztof Rutowicz,1,478212441,bd6,f7,e30a,m34a,n35,h15,złośliwy,zrównoważony,nieuczciwy,przeciętny"
"Janusz Daniel,2,478205259,bd5,f9,e28b,m7b,n32,h2,kontrowersyjny,zrównoważony,uczciwy,przeciętny"
"Blazej Sapielak,2,478200692,bd8,f1,e17c,m19c,n12,h9,popularny,opanowany,prawy,słaby"
"Kwiryn Vernigorenko,3,478189203,bd2,f7,e24b,m35b,n15,h4,kontrowersyjny,z charakterem,uczciwy,kiepski"
"Kuba Petrycki,1,478219581,bd12,f8,e24a,m28a,n11,h9,złośliwy,z charakterem,uczciwy,zadowalający"
"Jan Gieron,2,478208475,bd8,f4,e29b,m8b,n9me,h14,kontrowersyjny,opanowany,uczciwy,słaby"
"Daniel Drabczyk,1,478217179,bd9,f4,e22b,m19b,n4mb,h12,kontrowersyjny,porywczy,prawy,słaby"
"Radoslaw Perzynski,3,478190863,bd3,f1,e3b,m14b,n8,h2,kontrowersyjny,zrównoważony,nieuczciwy,zadowalający"
"Ferdynand Padziak,2,478206613,bd9,f5,e27b,m28b,n29,h3,kontrowersyjny,opanowany,prawy,nędzny"
"Zbigniew Olejarczyk,3,478196457,bd9,f1,e9c,m19c,n12,h13,przyjemny,spokojny,prawy,słaby"
"Igor Haba,3,478197024,bd4,f9,e34c,m7c,n4,h4,sympatyczny,opanowany,uczciwy,przeciętny"
"Jozef Scigaj,2,478201192,bd2,f5,e7b,m21b,n23,h14,kontrowersyjny,z charakterem,prawy,zadowalający"
"Benedykt Perzynski,0,478220931,bd4,f5,e29c,m11c,n29,h10,popularny,porywczy,nieuczciwy,słaby"
"Ildefons Cieplinski,3,478196182,bd6,f9,e36b,m3b,n32,h8,kontrowersyjny,porywczy,nieuczciwy,zadowalający"
"Remigiusz Zimorski,0,478221307,bd8,f2,e29c,m2c,n10,h5,sympatyczny,porywczy,prawy,słaby"
"Edward Klat,3,478188916,bd1,f7,e10c,m14c,n28,h0,popularny,zrównoważony,uczciwy,nędzny"
"Korneliusz Pizon,0,478223349,bd9,f5,e25a,m3c,n10,h10,kontrowersyjny,opanowany,podły,kiepski"
"Patryk Gabryszewski,0,478221725,bd3,f1,e12c,m36c,n26,h14,przyjemny,porywczy,uczciwy,kiepski"
"Slawomir Krzysztofczyk,1,478209823,bd7,f9,e30c,m29c,n32,h4,przyjemny,zrównoważony,nieuczciwy,solidny"
"Ireneusz Jakoniuk,3,478195952,bd8,f3,e4b,m33b,n31,h13,kontrowersyjny,z charakterem,prawy,słaby"
"Marek Golowicz,2,478208156,bd6,f1,e20c,f1bem31c,f1ben14,h10,przyjemny,opanowany,uczciwy,słaby"
"Rafal Bernas,3,478192652,bd5,f7,e14c,f7bem39c,f7ben28,h3,sympatyczny,porywczy,uczciwy,słaby"
"Jonatan Malisz,2,478198566,bd2,f8,e19c,m7c,n31,h5,przyjemny,zrównoważony,uczciwy,solidny"
"Bernard Kubica,1,478217556,bd3,f9,e36c,f9bem16c,f9ben31,h2,popularny,spokojny,uczciwy,fatalny"
"Waclaw Filipiec,2,478200354,bd11,f1,e11c,m7c,n26,h2,przyjemny,z charakterem,uczciwy,zadowalający"
"Stanislaw Haczkiewicz,3,478189094,bd9,f2,e25c,m13c,n23,h3,przyjemny,z charakterem,uczciwy,fatalny"
"Chrystian Hendel,2,478203567,bd10,f1,e21a,m24a,n6,h3,złośliwy,zrównoważony,uczciwy,nędzny"
"Edmund Dabek,3,478188829,bd6,f4,e31c,m9c,n27,h15,przyjemny,porywczy,prawy,kiepski"
"Marek Sadel,1,478219452,bd2,f5,e36a,m36a,n10,h1,złośliwy,z charakterem,nieuczciwy,fatalny"
"Andrzej Rogala,3,478195849,bd9,f2,e25c,m12c,n33,h10,przyjemny,zrównoważony,uczciwy,fatalny"
"Kazimierz Sermak,0,478221069,bd8,f3,e27c,m8c,n20,h14,przyjemny,opanowany,podły,kiepski"
"Cezary Rewerski,2,478198567,bd5,f1,e12c,m23c,n28,h7,popularny,z charakterem,uczciwy,zadowalający"
"Dawid Majcherek,0,478221054,bd10,f2,e17a,m32c,n31,h2,złośliwy,zrównoważony,podły,nędzny"
"Lukasz Bandura,3,478188467,bd6,f3,e24b,m8b,n4,h7,kontrowersyjny,zrównoważony,prawy,zadowalający"
"Artur Troszynski,1,478211241,bd12,f2,e20c,m26cg,n11,h3,sympatyczny,opanowany,uczciwy,nędzny"
"Mateusz Niznikowski,1,478219535,bd3,f7,e25a,m38a,n15,h14,złośliwy,opanowany,uczciwy,nędzny"
"Teodor Ksiazek,2,478200266,bd10,f4,e27a,m12a,n14,h14,złośliwy,opanowany,uczciwy,zadowalający"
"Jaroslaw Pulawski,1,478215142,bd1,f1,e8c,m24c,n16,h2,sympatyczny,opanowany,prawy,słaby"
